<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.26	01:00:00	5163.68	5182.16	5158.68	5168.70	3655	0	4
2026.02.26	01:15:00	5168.70	5179.87	5163.65	5169.94	4496	0	4
2026.02.26	01:30:00	5169.94	5174.36	5163.62	5172.61	3644	0	4
2026.02.26	01:45:00	5172.61	5179.29	5161.43	5163.23	6622	0	4
2026.02.26	02:00:00	5163.23	5169.49	5155.58	5167.69	7463	0	4
2026.02.26	02:15:00	5167.69	5186.27	5167.65	5185.52	5242	0	4
2026.02.26	02:30:00	5185.52	5189.44	5181.28	5188.38	5852	0	4
2026.02.26	02:45:00	5188.39	5192.14	5185.02	5188.31	4885	0	4
2026.02.26	03:00:00	5188.31	5198.32	5182.55	5187.67	11080	0	4
2026.02.26	03:15:00	5187.67	5195.44	5178.81	5180.68	8306	0	4
2026.02.26	03:30:00	5180.68	5192.60	5178.84	5189.44	11398	0	4
2026.02.26	03:45:00	5189.45	5194.18	5185.28	5191.78	11369	0	4
2026.02.26	04:00:00	5191.77	5195.89	5182.44	5183.21	9024	0	4
2026.02.26	04:15:00	5183.18	5190.00	5180.79	5180.87	7007	0	4
2026.02.26	04:30:00	5180.88	5184.43	5174.25	5176.49	11782	0	4
2026.02.26	04:45:00	5176.52	5186.64	5176.42	5184.52	8627	0	4
2026.02.26	05:00:00	5184.54	5188.21	5183.16	5187.30	7447	0	4
2026.02.26	05:15:00	5187.29	5193.94	5185.57	5188.49	9611	0	4
2026.02.26	05:30:00	5188.49	5190.12	5186.23	5186.43	3026	0	4
2026.02.26	05:45:00	5186.43	5193.03	5184.37	5192.66	4413	0	4
2026.02.26	06:00:00	5192.66	5199.27	5192.45	5196.84	3682	0	4
2026.02.26	06:15:00	5196.84	5197.20	5191.47	5194.22	3434	0	4
2026.02.26	06:30:00	5194.22	5195.84	5192.88	5194.33	2856	0	4
2026.02.26	06:45:00	5194.33	5194.86	5190.71	5192.68	2804	0	4
2026.02.26	07:00:00	5192.70	5199.52	5189.94	5198.00	3804	0	4
2026.02.26	07:15:00	5198.00	5205.65	5196.58	5200.59	4428	0	4
2026.02.26	07:30:00	5200.58	5203.43	5196.18	5199.68	5798	0	4
2026.02.26	07:45:00	5199.68	5200.26	5191.39	5198.34	6171	0	4
2026.02.26	08:00:00	5198.34	5199.60	5193.57	5198.01	4684	0	4
2026.02.26	08:15:00	5198.02	5198.51	5193.20	5193.92	5225	0	4
2026.02.26	08:30:00	5193.92	5198.50	5193.77	5196.65	4133	0	4
2026.02.26	08:45:00	5196.65	5197.18	5190.11	5193.34	4567	0	4
2026.02.26	09:00:00	5193.34	5194.86	5182.44	5187.54	4402	0	4
2026.02.26	09:15:00	5187.54	5190.77	5182.22	5185.21	4093	0	4
2026.02.26	09:30:00	5185.21	5189.88	5184.50	5186.47	3064	0	4
2026.02.26	09:45:00	5186.47	5188.29	5179.78	5186.00	3975	0	4
2026.02.26	10:00:00	5186.00	5190.75	5179.44	5189.41	6168	0	4
2026.02.26	10:15:00	5189.41	5190.85	5175.41	5176.96	5448	0	4
2026.02.26	10:30:00	5176.96	5180.92	5170.91	5174.21	7180	0	4
2026.02.26	10:45:00	5174.20	5182.35	5167.74	5179.35	6213	0	4
2026.02.26	11:00:00	5179.35	5182.50	5174.12	5181.64	5332	0	4
2026.02.26	11:15:00	5181.64	5182.35	5174.76	5181.04	4970	0	4
2026.02.26	11:30:00	5181.03	5183.88	5179.34	5181.58	3425	0	4
2026.02.26	11:45:00	5181.58	5189.59	5181.58	5186.47	3835	0	4
2026.02.26	12:00:00	5186.47	5190.20	5185.63	5187.86	2766	0	4
2026.02.26	12:15:00	5187.90	5188.83	5178.75	5179.47	4185	0	4
2026.02.26	12:30:00	5179.33	5179.62	5171.93	5172.16	5880	0	4
